"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2017","NY","New York","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","HI","Hawaii","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","RI","Rhode Island","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2018","DC","District of Columbia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2015","IN","Indiana","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","CA","California","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2015","CA","California","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","KS","Kansas","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","NC","North Carolina","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.4","La Leche Leaders Count"
"2014","ID","Idaho","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.9","La Leche Leaders Count"
"2014","NH","New Hampshire","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","36.0","Percent of BFHI births"
"2013","HI","Hawaii","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","US","National","Fruits and Vegetables","Percent of farmers markets that accept SNAP benefits","21.0","Percent of SNAP Farmers Markets"
"2013","CT","Connecticut","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","25.0","Percent of BFHI births"
"2014","MT","Montana","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
