YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Total,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2007,2007,WA,Washington,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,4.2,4.2,,,Total,"(47.522278629, -120.47001079)",BF,BF2,Q013,VALUE,53,Total,Total,OVR,OVERALL
2017,2017,NY,New York,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(42.82700103200045, -75.54397042699964)",PA,PA2,Q053,VALUE,36,Total,Total,OVR,OVERALL
2017,2017,HI,Hawaii,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(21.304850435, -157.857749403)",FV,FV2,Q032,VALUE,15,Total,Total,OVR,OVERALL
2012,2012,RI,Rhode Island,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.6,0.6,,,Total,"(41.708280193, -71.522470314)",BF,BF2,Q014,VALUE,44,Total,Total,OVR,OVERALL
2018,2018,DC,District of Columbia,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(38.89037138500049, -77.03196112699965)",PA,PA2,Q053,VALUE,11,Total,Total,OVR,OVERALL
2015,2015,IN,Indiana,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(39.766910452, -86.149960194)",FV,FV2,Q033,VALUE,18,Total,Total,OVR,OVERALL
2016,2016,CA,California,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(37.638640123, -120.999999538)",FV,FV2,Q033,VALUE,06,Total,Total,OVR,OVERALL
2015,2015,CA,California,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(37.638640123, -120.999999538)",PA,PA2,Q053,VALUE,06,Total,Total,OVR,OVERALL
2017,2017,KS,Kansas,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(38.3477403, -98.200781227)",FV,FV2,Q032,VALUE,20,Total,Total,OVR,OVERALL
2012,2012,NC,North Carolina,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,1.4,1.4,,,Total,"(35.466220975, -79.159250463)",BF,BF2,Q014,VALUE,37,Total,Total,OVR,OVERALL
